Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Region.1,longitude,latitude,Year,Month
Bihar,2020-03-31, M,15.43,25717519,38.69,East,25.0961,85.3131,2020,3
Bihar,2020-04-30, M,46.64,16046236,38.17,East,25.0961,85.3131,2020,4
Bihar,2020-05-31, M,45.96,16280203,38.16,East,25.0961,85.3131,2020,5
Bihar,2020-06-30, M,17.82,23963933,36.86,East,25.0961,85.3131,2020,6
Bihar,2020-07-31, M,12.79,24989370,36.14,East,25.0961,85.3131,2020,7
Bihar,2020-08-31, M,13.44,23795534,34.59,East,25.0961,85.3131,2020,8
Bihar,2020-09-30, M,11.91,26902907,38.35,East,25.0961,85.3131,2020,9
Bihar,2020-10-31, M,9.82,25693252,35.7,East,25.0961,85.3131,2020,10
Chhattisgarh,2020-01-31, M,9.65,8552172,43.08,West,21.2787,81.8661,2020,1
Chhattisgarh,2020-02-29, M,8.38,9195114,45.58,West,21.2787,81.8661,2020,2
Chhattisgarh,2020-03-31, M,7.54,9302317,45.59,West,21.2787,81.8661,2020,3
Chhattisgarh,2020-04-30, M,3.41,7600448,35.58,West,21.2787,81.8661,2020,4
Chhattisgarh,2020-05-31, M,10.5,6991217,35.23,West,21.2787,81.8661,2020,5
Chhattisgarh,2020-06-30, M,14.23,7332807,38.48,West,21.2787,81.8661,2020,6
Chhattisgarh,2020-07-31, M,10.27,8620294,43.14,West,21.2787,81.8661,2020,7
Chhattisgarh,2020-08-31, M,5.63,9050422,42.97,West,21.2787,81.8661,2020,8
Chhattisgarh,2020-09-30, M,1.96,9021854,41.14,West,21.2787,81.8661,2020,9
Chhattisgarh,2020-10-31, M,6.62,8546847,40.82,West,21.2787,81.8661,2020,10
Delhi,2020-01-31, M,22.23,5805284,47.79,North,28.7041,77.1025,2020,1
Delhi,2020-02-29, M,14.84,5856307,43.92,North,28.7041,77.1025,2020,2
Delhi,2020-03-31, M,17.04,5553805,42.65,North,28.7041,77.1025,2020,3
Delhi,2020-04-30, M,16.68,3119274,23.8,North,28.7041,77.1025,2020,4
Delhi,2020-05-31, M,42.27,2632404,28.91,North,28.7041,77.1025,2020,5
Delhi,2020-06-30, M,18.19,4418914,34.17,North,28.7041,77.1025,2020,6
Delhi,2020-07-31, M,20.3,4291053,33.97,North,28.7041,77.1025,2020,7
Delhi,2020-08-31, M,13.79,4850107,35.41,North,28.7041,77.1025,2020,8
Delhi,2020-09-30, M,12.53,4958373,35.59,North,28.7041,77.1025,2020,9
Delhi,2020-10-31, M,6.27,4842698,32.36,North,28.7041,77.1025,2020,10
Goa,2020-01-31, M,8.89,416750,35.73,West,15.2993,74.124,2020,1
Goa,2020-02-29, M,2.81,478068,38.38,West,15.2993,74.124,2020,2
Goa,2020-03-31, M,5.25,411761,33.88,West,15.2993,74.124,2020,3
Goa,2020-04-30, M,13.31,500614,44.97,West,15.2993,74.124,2020,4
Goa,2020-05-31, M,21.25,378244,37.36,West,15.2993,74.124,2020,5
Goa,2020-06-30, M,9.96,489111,42.21,West,15.2993,74.124,2020,6
Goa,2020-07-31, M,17.07,458876,42.94,West,15.2993,74.124,2020,7
Goa,2020-08-31, M,16.21,473016,43.76,West,15.2993,74.124,2020,8
Goa,2020-09-30, M,15.38,425004,38.89,West,15.2993,74.124,2020,9
Goa,2020-10-31, M,11.54,392304,34.3,West,15.2993,74.124,2020,10
Gujarat,2020-01-31, M,5.54,24126346,48.49,West,22.2587,71.1924,2020,1
Gujarat,2020-02-29, M,6.38,24757795,50.11,West,22.2587,71.1924,2020,2
Gujarat,2020-03-31, M,6.66,23566641,47.75,West,22.2587,71.1924,2020,3
Gujarat,2020-04-30, M,18.71,15288878,35.5,West,22.2587,71.1924,2020,4
Gujarat,2020-05-31, M,12.11,17836936,38.23,West,22.2587,71.1924,2020,5
Gujarat,2020-06-30, M,3.2,23657055,45.96,West,22.2587,71.1924,2020,6
Gujarat,2020-07-31, M,1.84,24276120,46.41,West,22.2587,71.1924,2020,7
Gujarat,2020-08-31, M,1.87,22817232,43.55,West,22.2587,71.1924,2020,8
Gujarat,2020-09-30, M,3.42,25010199,48.41,West,22.2587,71.1924,2020,9
Gujarat,2020-10-31, M,4.03,25970259,50.49,West,22.2587,71.1924,2020,10
Haryana,2020-01-31, M,20.34,7693231,43.36,North,29.0588,76.0856,2020,1
Haryana,2020-02-29, M,25.77,7322942,44.21,North,29.0588,76.0856,2020,2
Haryana,2020-03-31, M,25.05,6641555,39.63,North,29.0588,76.0856,2020,3
Haryana,2020-04-30, M,43.22,5647630,44.38,North,29.0588,76.0856,2020,4
Haryana,2020-05-31, M,29.02,6437868,40.39,North,29.0588,76.0856,2020,5
Haryana,2020-06-30, M,26.7,6951934,42.14,North,29.0588,76.0856,2020,6
Haryana,2020-07-31, M,24.18,6800652,39.77,North,29.0588,76.0856,2020,7
Haryana,2020-08-31, M,33.5,7113788,47.32,North,29.0588,76.0856,2020,8
Haryana,2020-09-30, M,19.68,7132439,39.2,North,29.0588,76.0856,2020,9
Haryana,2020-10-31, M,27.31,6698551,40.6,North,29.0588,76.0856,2020,10
Himachal Pradesh,2020-01-31, M,16.83,2287632,45.5,North,31.1048,77.1734,2020,1
Himachal Pradesh,2020-02-29, M,16.84,2180268,43.3,North,31.1048,77.1734,2020,2
Himachal Pradesh,2020-03-31, M,18.76,2021858,41.04,North,31.1048,77.1734,2020,3
Himachal Pradesh,2020-04-30, M,2.2,1131128,19.04,North,31.1048,77.1734,2020,4
Himachal Pradesh,2020-05-31, M,26.95,1897639,42.7,North,31.1048,77.1734,2020,5
Himachal Pradesh,2020-06-30, M,13.47,2199683,41.72,North,31.1048,77.1734,2020,6
Himachal Pradesh,2020-07-31, M,24.31,2229456,48.25,North,31.1048,77.1734,2020,7
Himachal Pradesh,2020-08-31, M,15.79,2029740,39.42,North,31.1048,77.1734,2020,8
Himachal Pradesh,2020-09-30, M,12.04,2237480,41.54,North,31.1048,77.1734,2020,9
Himachal Pradesh,2020-10-31, M,13.46,2123965,40.01,North,31.1048,77.1734,2020,10
Jammu & Kashmir,2020-01-31, M,21.08,3453025,42.2,North,33.7782,76.5762,2020,1
Jammu & Kashmir,2020-02-29, M,20.78,3223513,39.17,North,33.7782,76.5762,2020,2
Jammu & Kashmir,2020-03-31, M,15.5,3359107,38.18,North,33.7782,76.5762,2020,3
Jammu & Kashmir,2020-05-31, M,18.74,3246493,38.21,North,33.7782,76.5762,2020,5
Jammu & Kashmir,2020-06-30, M,17.92,3202336,37.24,North,33.7782,76.5762,2020,6
Jammu & Kashmir,2020-07-31, M,10.88,3558889,38.03,North,33.7782,76.5762,2020,7
Jammu & Kashmir,2020-08-31, M,11.09,3429950,36.66,North,33.7782,76.5762,2020,8
Jammu & Kashmir,2020-09-30, M,16.17,3210281,36.31,North,33.7782,76.5762,2020,9
Jammu & Kashmir,2020-10-31, M,16.14,3106691,35.05,North,33.7782,76.5762,2020,10
Jharkhand,2020-01-31, M,10.61,10198029,42.92,East,23.6102,85.2799,2020,1
Jharkhand,2020-02-29, M,11.85,10425425,44.4,East,23.6102,85.2799,2020,2
Jharkhand,2020-03-31, M,8.23,9638115,39.34,East,23.6102,85.2799,2020,3
Jharkhand,2020-04-30, M,47.09,5335262,37.69,East,23.6102,85.2799,2020,4
Jharkhand,2020-05-31, M,59.23,4145385,37.92,East,23.6102,85.2799,2020,5
Jharkhand,2020-06-30, M,20.95,8622722,40.59,East,23.6102,85.2799,2020,6
Jharkhand,2020-07-31, M,7.63,9521900,38.27,East,23.6102,85.2799,2020,7
Jharkhand,2020-08-31, M,9.76,9331640,38.31,East,23.6102,85.2799,2020,8
Jharkhand,2020-09-30, M,8.24,10185670,41.04,East,23.6102,85.2799,2020,9
Jharkhand,2020-10-31, M,11.8,10302276,43.08,East,23.6102,85.2799,2020,10
Karnataka,2020-01-31, M,2.86,22688028,42.18,South,15.3173,75.7139,2020,1
Karnataka,2020-02-29, M,3.61,21677719,40.54,South,15.3173,75.7139,2020,2
Karnataka,2020-03-31, M,3.46,22079653,41.14,South,15.3173,75.7139,2020,3
Karnataka,2020-04-30, M,29.84,16718395,42.78,South,15.3173,75.7139,2020,4
Karnataka,2020-05-31, M,19.97,19397853,43.43,South,15.3173,75.7139,2020,5
Karnataka,2020-06-30, M,8.44,24215057,47.29,South,15.3173,75.7139,2020,6
Karnataka,2020-07-31, M,4.01,22885616,42.55,South,15.3173,75.7139,2020,7
Karnataka,2020-08-31, M,0.5,24094289,43.13,South,15.3173,75.7139,2020,8
Karnataka,2020-09-30, M,2.41,20127176,36.66,South,15.3173,75.7139,2020,9
Karnataka,2020-10-31, M,1.58,22356390,40.3,South,15.3173,75.7139,2020,10
Kerala,2020-01-31, M,5.31,9904534,37.12,South,10.8505,76.2711,2020,1
Kerala,2020-02-29, M,7.6,9828023,37.71,South,10.8505,76.2711,2020,2
Kerala,2020-03-31, M,8.99,8221728,32.0,South,10.8505,76.2711,2020,3
Kerala,2020-04-30, M,16.99,3933276,16.77,South,10.8505,76.2711,2020,4
Kerala,2020-05-31, M,17.88,7921962,34.11,South,10.8505,76.2711,2020,5
Kerala,2020-06-30, M,9.71,9228268,36.11,South,10.8505,76.2711,2020,6
Kerala,2020-07-31, M,7.09,9504420,36.1,South,10.8505,76.2711,2020,7
Kerala,2020-08-31, M,10.98,9031944,35.78,South,10.8505,76.2711,2020,8
Kerala,2020-09-30, M,5.91,9240913,34.6,South,10.8505,76.2711,2020,9
Kerala,2020-10-31, M,3.88,9152881,33.52,South,10.8505,76.2711,2020,10
Madhya Pradesh,2020-01-31, M,4.11,23018632,39.42,West,22.9734,78.6569,2020,1
Madhya Pradesh,2020-02-29, M,4.57,22711479,39.0,West,22.9734,78.6569,2020,2
Madhya Pradesh,2020-03-31, M,2.22,22867164,38.24,West,22.9734,78.6569,2020,3
Madhya Pradesh,2020-04-30, M,12.36,19041832,35.45,West,22.9734,78.6569,2020,4
Madhya Pradesh,2020-05-31, M,21.98,18443927,38.48,West,22.9734,78.6569,2020,5
Madhya Pradesh,2020-06-30, M,6.48,23054646,40.04,West,22.9734,78.6569,2020,6
